,fp_rates,precision_vals,tp_rates
0,0.7246376811594203,66.66666666666666,33.33333333333333
1,1.4492753623188406,60.0,50.0
2,1.4492753623188406,60.0,50.0
3,2.1739130434782608,57.14285714285714,66.66666666666666
4,2.1739130434782608,57.14285714285714,66.66666666666666
5,2.1739130434782608,57.14285714285714,66.66666666666666
6,0.0,100.0,33.33333333333333
7,0.7246376811594203,66.66666666666666,33.33333333333333
8,1.4492753623188406,50.0,33.33333333333333
9,1.4492753623188406,60.0,50.0
10,1.4492753623188406,60.0,50.0
11,1.4492753623188406,60.0,50.0
12,0.7246376811594203,66.66666666666666,33.33333333333333
13,1.4492753623188406,50.0,33.33333333333333
14,1.4492753623188406,60.0,50.0
15,0.7246376811594203,75.0,50.0
16,0.7246376811594203,75.0,50.0
17,0.7246376811594203,75.0,50.0
